Dateline,Text
"Falmouth  July 5, 1774
","My  I cant be easy without my Pen in my Hand, yet I know not what to write. I have this Morning heard a Dialogue between  and a Captain Pote of  Falmouth. Gardiner says he cant subscribe the Non Consumption Agreement, because he has 100 Men coming from  England to settle upon  Kennebeck River, and he must supply them, which he cant do without English Goods. That Agreement he says may do, at  Boston, but not in the Eastern Country. Pote said he never would sign it, and rail'd away at  Boston Mobs, drowning Tea, and tarring Malcom. James Sullivan at Dinner told us a Story or two. -- One Member of the General Court he said as they came down Stairs after their Dissolution at  Salem, said to him  ""Tho we are  we died scrabbling, did not We."" -- This is not very witty I think. Another Story was of a Piece of Wit of Brother Porter of  Salem. He came upon the Floor and asked a Member  ""What State are you in now?"" The Member answered  ""in a State of Nature."" -- Ay says Porter,  ""and you will be d--d before you will get into a State of Grace."" I spent an Hour last Evening at Mr. Wyers with Judge Cushing. Wyers Father, who has a little Place in the Customs came in. He began, upon  and told us, that Mr. Smith had a Fast last Week  which he attended. Mr. Gillman preached, he said, Part of the Day and told them that the judgments of God upon the Land, were in Consequence of the Mobbs and Riots, which had prevailed in the Country -- and then turning to me, old Wyer said  ""What do you think of that Mr. Adams?"" -- I answered, I cant say but Mobs and Violences may have been one Cause of our Calamities. I am inclined to think that they do come in for a share: But there are many other Causes; did not Mr. Gillman mention Bribery and Corruption, as another Cause? -- He ought to have been impartial, and pointed out the Venality which prevails in the Land as a Cause, as well as Tumults. --  ""I think he did"" says Wyer. I might have pursued my , whether, he did not mention the Universal Pilfering, Robbery and Picking of Pocketts, which prevails in the Land -- as every Mans Pockett upon the Continent is picked every Day, by taking from him Duties without his Consent. I might have  inquired whether he mentioned the universal Spirit of Debauchery, Dissipation, Luxury, Effeminacy and Gaming which the late ministerial Measures are introducing, &c. &c. &c. but I forbore. How much Profaneness, Leudness, Intemperance, &c. have been introduced by the Army and Navy, and Revenue -- how much servility, Venality And Artifice and Hypocricy, have been introduced among the Ambitious and Avaricious by the british  of the last 10 Years? In short the original faulty Causes of all the Vices which have been introduced, these last 10 Years, are the Political Innovations of the last 10 Years. This is no Justification and a poor Excuse for the Girls who have been debauched, and for the Injustice which has been committed, in some Riots.   But surely the Soldiers, Sailors, and Excisemen, who have occasioned these Vices ought not to reproach those they have corrupted. These Tories act the Part of the Devil -- they tempt Men and Women into sin, and then reproach them for It, and become soon their Tormentors for it. A Tempter and Tormentor, is the Character of the Devil. -- Hutchinson, Oliver, and others of their Circle, who for their own Ends of Ambition and Avarice, have procured, promoted, encouraged, councilled, aided and abetted the Taxation of America, have been the Real Tempters of their Countrymen and Women, into all the Vices, sins, Crimes and follies which that Taxation has occasioned: And now by  and their Friends, Dependents, and Votaries, they  [are ] reproaching those very Men and Women, with those Vices and follies, Sins and Crimes. There is not a Sin which prevails more universally and has prevailed longer, than Prodigality, in Furniture, Equipage,  and Diet. And I believe that this Vice, this Sin has as large a Share in drawing down the judgments of Heaven as any. And perhaps the Punishment that is inflicted, may work medicinally, and cure the Desease.   "
"Falmouth  July. 6, 1774
","Mobs are the trite  of Declamation and Invective, among all the ministerial People, far and near. They are grown universally learned in the Nature, Tendency and Consequences of them, and very eloquent and pathetic in descanting upon them. They are Sources of all kinds of Evils, Vices, and Crimes, they say. They give Rise to Prophaneness, Intemperance, Thefts, Robberies, Murders, and Treason. Cursing, Swearing, Drunkenness, Gluttony, Leudness, Trespasses, Maims, are necessarily involved in them and occasioned by them. Besides, they render the Populace, the Rabble, the scum of the Earth, insolent, and disorderly, impudent, and abusive. They give Rise to Lying, Hypocricy, Chicanery, and even Perjury among the People, who are driven to such Artifices, and Crimes, to conceal themselves and their Companions, from Prosecutions in Consequence of them. This is the Picture drawn by the Tory Pencil: and it must be granted to be a Likeness; but this is Declamation. What Consequence is to be drawn from this Description? Shall We submit to Parliamentary Taxation, to avoid Mobs? Will not Parliamentary Taxation if established, occasion Vices, Crimes and Follies, infinitely more numerous, dangerous, and fatal to the Community? Will not parliamentary Taxation if established, raise a Revenue, unjustly and wrongfully? If this Revenue is scattered by the Hand of Corruption, among the public Officers, and Magistrates and Rulers, in the Community, will it not propagate Vices more numerous, more malignant and pestilential among them. Will it not render Magistrates servile, and fawning to their vicious ?  and insolent and Tyrannical to their Inferiours? Is Insolence, Abuse and Impudence more tolerable in a Magistrate than in a subject? Is it not more constantly and extensively, pernicious? And does not the Example of Vice and Folly, in Magistrates descend, and spread downwards among the People? Besides is not the Insolence of Officers and Soldiers, and Seamen, in the Army and Navy as mischievous as that of Porters,  Sailors in Merchant Service? Are not Riots raised and made by Armed Men, as bad as those by unarmed? Is not an Assault upon a civil officer, and a Rescue of a Prisoner  of lawfull Authority, made by Soldiers with Swords or Bayonets, as bad as if made  [by] Tradesmen with Staves? Is not the Killing of a Child by R.  and the slaughter of half a Dozen Citizens by a Party of Soldiers, as bad as pulling down a House, or drowning a Cargo of Tea? even if both should be allowed to be unlawfull. Parties may go on declaiming: but it is not easy to say, which Party has excited most Riots, which has published most Libels, which have propagated most Slander, and Defamation. Verbal Scandal has been propagated in great Abundance by both Parties. But there is this Difference, that one Party have enjoyed almost all public Offices, and therefore their  has been spread among the People more secretly, more maliciously and more effectually. It has gone with greater Authority, and been scattered by Instruments more industrious. The ministerial News Papers have swarmed with as numerous and as malicious Libels as the Whiggs antiministerial ones. Fleets Paper, Meins Chronicle, &c. &c. have been as virulent as any that was ever in the Province. These Bickerings of opposite Parties, and their mutual Reproaches, their Declamations, their Sing Song, their Triumphs and , their Dismals, and Prophecies, are all Delusion. We very seldom hear any solid Reasoning. I wish always to discuss the Question, without all Painting, Pathos, Rhetoric, or Flourish of every Kind. And the Question seems to me to be, whether the  american Colonies are to be considered, as a distinct Community so far as to have a Right to judge for themselves, when the fundamentals of their Government are destroyed or invaded? Or Whether they are to be considered as a Part of the whole British Empire, the whole  English Nation, so far as to be bound in , Conscience or Interest by the general Sense of the whole Nation? However if this was the Rule, I believe it is very far from the general Sense of the whole Nation that  America  be taxed by the british Parliament. If the Sense of  [all ] of the Empire, could be fairly and truly collected, it would appear, I believe, that a great Majority would be against taxing us, against or without our Consent. It is very certain that the Sense of Parliament is not the Sense of the Empire, nor a sure Indication of it. But if all other Parts of the Empire were agreed unanimously in the Propriety and Rectitude of taxing us, this would not bind us. It is a fundamental, inherent, and unalienable Right of the People that they have some Check, Influence, or Controul in their  Legislature. If the Right of Taxation is conceded to Parliament, the Americans have no Check, or Influence at all left. -- This Reasoning never was nor can be answered.   "
"Falmouth  July 6th: 1774
","Our J.  H. [ Hutchinson] is eternally giving his Political Hints. In a Cause, this Morning, Somebody named Captn. Mackay as a Refferee. I said ""an honest Man!"" -- ""Yes"" says H[utchinso]n, ""he's an honest Man, only misled.-He he he,"" blinking, and grinning.-At Dinner, to day, Somebody mentioned Determinations in the Lords House (the Court sitts in the Meeting House). -- ""I've known many very bad Determinations in the Lords House of late"" says he, meaning a Fling upon the Clergy.-He is perpetually flinging about the Fasts, and ironically talking about getting Home to the Fast. A Gentleman told me, that he had heard him say frequently, that the Fast was perfect Blasphemy. -- ""Why dont they pay for the Tea? Refuse to pay for the Tea! and go to fasting and praying for Direction! perfect Blasphemy!"" This is the Moderation, Candor, Impartiality, Prudence, Patience, Forbearance, and Condescention of our J[ustic]e. S[amuel] Q[uincy] said Yesterday, as Josa. told me, that he was for staying at home and not going to Meeting as  they i.e. the Meetings are now managed. Such is the Bitterness and Rancour, the Malice and Revenge, the Pride and Vanity which prevails in these Men. And such Minds are possessed of all the Power of the Province.' S. makes no Fortune this Court. There is very little Business here, it is true, but S. gets very little of that little-less than any Body. Wyer retains his old good Nature and good , his Wit, such as it is, and his Fancy, with its wildness. Bradbury retains his Anxiety and his plaintive,  Manner, David Sewal his Softness, and conceited Modesty. Bradbury and Sewall always roast Dr. Gardiner, at these Courts, but they have done it more now than usual, as Gardiner had not me to protect him. -- See how I think of myself! I believe it is Time to think a little about my Family and Farm. The fine Weather, we have had for 8 or 10 days past I hope has been carefully improved to get in my Hay. It is a great Mortification to me that I could not attend every Step of their Progress in mowing, making and carting. I long to see what Burden. But I long more still to see to the procuring more Sea Weed and Marsh Mud and Sand &c. However my Prospect is interrupted again. I shall have no Time. I must prepare for a journey to Philadelphia, a long journey indeed! But if the Length of the journey was all, it would be no burden. But the Consideration of What is to be done, is of great Weight. Great Things are wanted to be done, and little Things only I fear can be done. I dread the Thought of the Congress's falling short of the Expectations of the Continent, but especially of the People of this Province.  avaunt! I will do my Duty, and leave the Event. If I have the Approbation of my own Mind, whether applauded or censured, blessed or cursed, by the World, I will not be unhappy. Certainly I shall enjoy good Company, good Conversation, and shall have a fine Ride, and see a little more of the World than I have seen before. I think it will be necessary to make me up, a Couple of Pieces of new . I am told, they wash miserably, at N. York, the Jerseys and Philadelphia too in Comparison of Boston, and am advised to carry a great deal of Linnen. Whether to make me a Suit of new , at Boston or to make them at Phyladelphia, and what to make I know not, nor do I know how I shall go-whether on Horse back, in a Curricle, a Phaeton, or altogether in a Stage Coach I know not. The Letters I have written or may write, my Dear, must be kept secret or at least  with great Caution. Mr. Fairservice goes tomorrow: by him I shall send a . Kiss my dear Babes for me. Your I believe I forgot to tell you one Anecdote: When I first came to this House it was late in the Afternoon, and I had ridden 35 miles at least. ""Madam"" said I to Mrs. Huston, ""is it  for a weary Traveller to refresh himself with a Dish of Tea provided it has been honestly smuggled, or paid no Duties?"" ""No sir, said she, we have renounced all Tea in this Place. I cant make Tea, but He make you Coffee."" Accordingly I have drank Coffee every Afternoon since, and have borne it very well. Tea must be universally renounced. I must be weaned, and the sooner, the better.   "
"Falmouth  July 7th: 1774
","My Dear Have you seen a List of the Addressers of the late Governor? There is one abroad, with the Character, Profession or Occupation of each Person against his Name. I have never seen it but judge Brown says, against the Name of Andrew Fanuil Phillips, is ""Nothing,"" and that Andrew when he first heard of it said, ""Better be nothing with one Side, than every Thing with the other.""-This was witty and smart, whether Andrew said it, or what is more likely, it was made for him. A Notion prevails among all Parties that it is politest and genteelest to be on the Side of Administration, that the better Sort, the Wiser Few, are on one Side; and that the Multitude, the Vulgar, the Herd, the Rabble, the Mob  are on the other. So difficult it is for the frail feeble Mind of Man to shake itself loose from all Prejudices and Habits. However Andrew, or his Prompter is perfectly Right, in his judgment, and will finally be proved to be so, that the lowest on the Tory Scale, will make it more for his Interest than the highest on the Whiggish. And as long as a Man Adhers immoveably to his own Interest, and has Understanding or Luck enough to secure and promote it, he will have the Character of a Man of Sense And will be respected by a selfish World. I know of no better Reason for this it than this -- that most Men are conscious that they aim at their own Interest only, and that if they fail it is owing to short Sight or ill Luck, and therefore cant blame, but secretly applaud, admire and sometimes envy those whose Capacities have proved greater and Fortunes more prosperous. I am to dine with Mr. Waldo, . Betty, as you once said. I am engaged in a famous Cause: The Cause of King, of Scarborough  a Mob, that broke into his House, and rifled his Papers, and terrifyed him, his Wife, Children and Servants in the Night. The Terror, and Distress, the Distraction and Horror of this Family cannot be described by Words or painted upon Canvass. It is enough to move a Statue, to melt an Heart of Stone, to read the Story. A Mind susceptible of the Feelings of Humanity, an Heart which can be touch'd with Sensibi[li]ty for human Misery and Wretchedness, must reluct and must burn with Resentment and Indignation, at such outragious Injuries.' These private Mobs, I do and will detest. If Popular Commotions can be justifyed, in Opposition to Attacks upon the Constitution, it can be only when Fundamentals are invaded, nor then unless for absolute Necessity and with great Caution. But these Tarrings and Featherings, these breaking open Houses by rude and insolent Rabbles, for private in Resentment for private Wrongs or in pursuance of private Prejudices and Passions, must be discountenanced, cannot be even excused upon any Principle which can be entertained by a good Citizen-a worthy Member of Society. Dined With Mr. Collector Francis Waldo,  in Company with Mr. Winthrop, the two Quincys and the two Sullivans. All very social and chearfull-full of Politicks. S. Quincy's Tongue ran as fast as any Bodies. He was clear in it, that the House of Commons had no Right to take Money out of our Pocketts, any more than any foreign Staterepeated large Paragraphs from a Publication of Mr. Burke's in 1766, and large Paragraphs from Junius Americanus &c. This is to talk and to shine, before Persons who have no Capacity of judging, and who do not know that he is ignorant of every Rope in the Ship. I shant be able to get away, till next Week. I am concerned only in 2 or 3 Cases and none of them are come on yet. Such an Eastern Circuit I never made. I shall bring home as much as I brought from home I hope, and not much more, I fear. I go mourning in my Heart, all the Day long,  I say nothing. I am melancholly for the Public, and anxious for my Family, as for myself a Frock and Trowsers, an Hoe and Spade, would do for my Remaining Days. For God Sake make your Children, hardy, active and industrious, for Strength, Activity and Industry will be their only Resource and Dependance.   "
"Falmouth  July 9, 1774
","My Dr. I never enjoyed better Health in any of my journeys, but this has been the most tedious, the most irksome, the most gloomy and  I ever made. I cannot with all my  and christian Resignation keep up my Spirits. The dismal Prospect before me, my Family, and my Country, are too much, for my Fortitude. The Day before Yesterday, a Gentleman came and spoke to me, asked me to dine with him on Saturday. Said he was very sorry I had not better Lodgings in Town, desired if I came to Town again I would take a Bed at his House and make his House my Home. I should always be very welcome. I told him I had not the Pleasure of knowing him. He said his Name was Codman. I said I was very much obliged to him, but  I was very well accommodated where I lodged. I had a clean Bed and a very neat House, and a Chamber to myself, and every Thing I wanted. Saturday I dined with him in Company with Brigadier Prebble, Major Freeman and his son, &c. and a very genteel Dinner we had. Salt Fish and all its apparatus, roast Chickens, Bacon, Pees, as fine a Salad as ever was made, and a rich meat Pie-Tarts and Custards &c., good Wine and as good Punch as ever you made. A large spacious, elegant House, Yard and Garden &c. I thought I had got into the Palace of a Nobleman. After Dinner when I was obliged to come away, he renewed his Invitation to me to make his House my Home, whenever I should come to Town again.  I dined with Coll., Sherriff, alias Bill Tyng. Mrs. Ross and her Daughter Mrs. Tyng dined with us and the Court and Clerk and some of the Bar. At Table We were speaking about Captain Maccarty, which led to the Affrican Trade. J[udge] Trowbridge said that was a very humane and Christian Trade to be sure, that of making Slaves.-Ay, says I, It makes no great Odds, it is a Trade that almost all Mankind have been concerned in, all over the Globe, since Adam, more or less in one Way and another -- This occasioned a Laugh. At another Time, J. Trowbridge said, it seems by  Barres Speeches that Mr. Otis has acquired Honour, by releasing his Damages to Robbinson.-Yes, says I, he has acquired Honour with all Generations. -- Trowbridge. He did not make much Profit I think.-Adams. True, but the less Profit the more Honour. He was a Man of Honour and Generosity. And those who think he was mistaken will pity him. Thus you see how foolish I am. I cannot avoid exposing myself, before these high Folk-my Feelings will at Times overcome my Modesty and Reserve-my Prudence, Policy and Discretion. I have a Zeal at my Heart, for my Country and her Friends, which I cannot smother or conceal: it will burn out at Times and in Companies where it ought to be latent in my Breast. This Zeal will prove fatal to the Fortune and Felicity of my Family, if it is not regulated by a cooler judgment than mine has hitherto been.  Otis's Phrase is ""The Zeal-Pot boils over."" I am to wait upon Brother Bradbury to Meeting , and to dine with Brother Wyer. When I shall get home I know not. But, if possible, it shall be before next Saturday night. I long for that Time to come, when My Dear Wife and my Charming little Prattlers will embrace me. "
"Prince Town New Jersey  Aug. 28th, 1774
","My Dr. I received your kind Letter, at New York, and it is not easy for you to imagine the Pleasure it has given me. I have not found a single Opportunity to write since I left Boston, excepting by the Post and I dont choose to write by that Conveyance, for fear of foul Play. But as We are now within forty two Miles of Philadelphia, I hope there to find some private Hand by which I can convey this. The Particulars of our journey, I must reserve, to be communicated after my Return. It would take a Volume to describe the whole. It has been upon the whole an Agreable Jaunt, We have had Opportunities to see the World, and to form Acquaintances with the most eminent and famous Men, in the several Colonies we have passed through. We have been treated with unbounded Civility, Complaisance, and Respect. We Yesterday visited Nassau Hall , and were politely treated by the Schollars, Tutors, Professors and President, whom We are, this Day to hear preach. Tomorrow We reach the Theatre of Action. God Almighty grant us Wisdom and Virtue sufficient for the high Trust that is devolved upon Us. The Spirit of the People wherever we have been seems to be very favourable. They universally consider our Cause as their own, and express the firmest Resolution, to abide the Determination of the Congress. I am anxious for our perplexed, distressed Province-hope they will be directed into the right Path. Let me  you, my Dear, to make yourself as easy and quiet as possible. Resignation to the Will of Heaven is our only Resource in such dangerous Times. Prudence and Caution should be our Guides. I have the strongest Hopes, that We shall yet see a clearer Sky, and better Times. Remember my tender Love to my little Nabby. Tell her she must write me a Letter and  it in the next you send. I am charmed with your Amusement with our little Johnny. Tell him I am glad to hear he is so good a Boy as to read to his Mamma, for her Entertainment, and to keep himself out of the Company of rude Children. Tell him I hope to hear a good Account of his Accidence and Nomenclature, when I return.  Kiss my little Charley and Tommy for me. Tell them I shall be at Home by November, but how much sooner I know not. Remember me to all  Friends-particularly to Uncle Quincy, your Pappa and Family, and Dr. Tufts and Family. Mr. Thaxter, I hope, is a good Companion, in your Solitude. Tell him, if he devotes his Soul and Body to his Books, I hope, notwithstanding the Darkness of these Days, he will not find them unprofitable Sacrifices in future. I have received three very obliging Letters, from Tudor, Trumble, and Hill. They have cheared us, in our Wanderings, and done us much Service. My Compliments to Mr. Wibirt and  Quincy, when you see them. Your Account of the Rain refreshed me. I hope our Husbandry is prudently and industriously managed. Frugality must be our Support. Our , in this journey, will be very great-our only Reward will be the consolatory Reflection that We toil, spend our Time, and tempt Dangers for the public Good-happy indeed, if we do any good! The Education of our Children is never out of my Mind. Train them to Virtue, habituate them to industry, activity, and Spirit. Make them consider every Vice, as  and unmanly: fire them with Ambition to be usefull-make them disdain to be destitute of any usefull, or ornamental Knowledge or Accomplishment. Fix their Ambition upon great and solid Objects, and their Contempt upon little, frivolous, and useless ones.  [It] is Time, my dear, for you to begin to teach them French. Every Decency, Grace, and Honesty should be inculcated upon them. I have [kept] a few Minutes by Way of journal, which shall be your Entertainment when I come home, but We have had so many Persons and so various Characters to converse with, and so many Objects to view, that I have not been able to be so particular as I could wish.-I am, with the tenderest  Affection and Concern, your wandering   "
"Phyladelphia  Septr. 8, 1774
","My Dear When or where this Letter will find you, I know not. In what Scenes of Distress and Terror, I cannot foresee.-We have received a confused Account from Boston, of a  Catastrophy. The Particulars, We have not heard. We are waiting with the Utmost Anxiety and Impatience, for further Intelligence. The Effect of the News We have both upon the Congress and the Inhabitants of this City, was very great-great indeed! Every Gentleman seems to consider the Bombardment of Boston, as the Bombardment, of the Capital of his own Province. Our Deliberations are grave and serious indeed. It is a great Affliction to me that I cannot write to you oftener than I do. But there are so many Hindrances, that I cannot. It would fill Volumes, to give you an Idea of the scenes I behold and the Characters I converse with. We have so much Business, so much Ceremony, so much Company, so many Visits to recive and return, that I have not Time to write. And the Times are such, as render it imprudent to write freely. We cannot depart from this Place,  the Business of the Congress is compleated, and it is the general Disposition to proceed slowly. When I shall be at home I cant say. If there is Distress and Danger in Boston, pray invite our Friends, as many as possible, to take an Assylum with you. Mrs. Cushing and Mrs. Adams if you can. There is in the Congress a Collection of the greatest Men upon this Continent, in Point of Abilities, Virtues and Fortunes. The Magnanimity, and public Spirit, which I see here, makes me blush for the sordid venal Herd, which I have seen in my own Province. The Addressers, and the new Councillors, are held in universal Contempt and Abhorrence, from one End of the Continent to the other. Be not under any Concern for me. There is little Danger from any Thing We shall do, at the Congress. There is such a Spirit,  the Colonies, and the Members of the Congress are such Characters, that no Danger can happen to Us, which will not involve the whole Continent, in Universal Desolation, and in that Case who would wish to live? Make my Compliments to Mr. Thaxter and Mr. Rice-and to every other of my Friends. My Love to all my dear Children-tell them to be good, and to mind their Books. I shall come home and see them, I hope, the latter End of next Month. P.S. You will judge how Things are like to be in Boston, and whether it will not be best to remove the Office entirely to Braintree. Mr. Hill and Williams, may come up, if they choose, paying for their Board. "
"Phyladelphia  Septr. 14, 1774
","My Dear I have written but once to you since I left you. This is to be imputed to a Variety of Causes, which I cannot explain for Want of Time. It would fill Volumes to give you an exact Idea of the whole Tour. My Time is to totally filled from the Moment I get out of Bed,  I return to it. Visits, Ceremonies, Company, Business, News Papers, Pamphlets &c. &c. &c. The Congress will, to all present Appearance be well united and in such Measures, I hope will give Satisfaction to the Friends of our Country. A Tory here is the most despicable Animal in the Creation. Spiders, Toads, Snakes, are their only proper Emblems. The Massachusetts Councillors, and Addressers are held in curious Esteem here, as you will see. The Spirit, the Firmness, the Prudence of our Province are vastly applauded, and We are universally acknowledged the Saviours and Defenders of American Liberty. The Designs, and Plans of the Congress, must not be communicated,  compleated, and We shall move with great Deliberation. When I shall come home I know not, but at present I dont expect to take my Leave of this City these four Weeks. My Compliments, Love, Service where they are due. My Babes are never out of my Mind, nor absent from my Heart. "
"Phyladelphia  Septr. 16, 1774
","Having a Leisure Moment, while the Congress is assembling, I gladly embrace it to write you a Line. When the Congress first met, Mr. Cushing made a Motion, that it should be opened with Prayer. It was opposed by Mr. Jay of N. York and Mr. Rutledge of South Carolina, because we were so divided in religious Sentiments, some Episcopalians, some Quakers, some Aanabaptists, some Presbyterians and some Congregationalists, so that We could not join in the same Act of Worship.-Mr. S. Adams arose and said he was no Bigot, and could hear a Prayer from a Gentleman of Piety and Virtue, who was at the same Time a Friend to his Country. He was a Stranger in Phyladelphia, but had heard that Mr. Duche (Dushay they pronounce it) deserved that Character, and therefore he moved that Mr. Duche, an episcopal Clergyman, might be desired, to read Prayers to the Congress, tomorrow Morning. The Motion was seconded and passed in the Affirmative. Mr. Randolph our President, waited on Mr. Duche, and received for Answer that if his Health would permit, he certainly would. Accordingly next Morning he appeared with his Clerk and in his Pontificallibus, and read several Prayers, in the established Form; and then read the  Collect for the seventh day of September, which was the Thirty fifth Psalm. -You must remember this was the next Morning after we heard the horrible Rumour, of the Cannonade of Boston.-I never saw a greater Effect upon an Audience. It seemed as if Heaven had ordained that Psalm to be read on that Morning. After this Mr. Duche, unexpected to every Body struck out into an extemporary Prayer, which filled the Bosom of every Man present. I must confess I never heard a better Prayer or one, so well pronounced. Episcopalian as he is, Dr. Cooper himself never prayed with such , such Ardor, such Earnestness and Pathos, and in Language so elegant and sublime-for America, for the Congress, for The Province of Massachusetts Bay, and especially the Town of Boston. It has had an excellent Effect upon every Body here. I must beg you to read that Psalm. If there was any Faith in the sortes Virgilianae, or sortes Homericae, or especially the Sortes biblicae, it would be thought providential. It will amuse your Friends to read this Letter and the 35th. Psalm to them. Read it to your Father and Mr. Wibirt.-I wonder what our Braintree Churchmen would think of this?-Mr. Duche is one of the most ingenious Men, and best Characters, and greatest orators in the Episcopal order, upon this Continent-Yet a Zealous Friend of Liberty and his Country. I long to see my dear Family. God bless, preserve and prosper it. "
"Phyladelphia  Septr. 18, 1774
","My Dear I received your very  Letter, by Mr. Marston, and have received two others, which gave me much Pleasure. I have wrote several Letters, but whether they have reached you I know not. There is so much Rascallity in the Management of Letters, now come in Fashion, that I am determined to write nothing of Consequence, not even to the Friend of my Bosom, but by Conveyances which I can be sure of. The Proceedings of the Congress, are all a profound Secret, as yet, except two Votes which were passed Yesterday, and ordered to be printed. You will see them from every Quarter. These Votes were passed in full Congress with perfect Unanimity. The Esteem, the Affection, the Admiration, for the People of Boston and the Massachusetts, which were expressed Yesterday, And the fixed Determination that they should be supported, were enough to melt an Heart of Stone. I saw the Tears gush  gush into the Eyes of the old, grave, pacific Quakers of Pensylvania. You cannot conceive my Dear, the Harry of Business, Visits and Ceremonies which we are obliged to go through. We have a delicate Course to steer, between too much Activity and too much Insensibility, in our critical interested situation. I flatter myself however, that We shall conduct our Embassy in such a manner as to merit the Approbation of our Country. It has taken Us much Time to get acquainted with the Tempers, Views, Characters, and Designs of Persons and to let them into the Circumstances of our Province. My dear   do, intreat every Friend I have to write me. Every Line which comes from our Friends is greedily enquired after, and our Letters have done us vast service. Middlesex and Suffolk have acquired unbounded  here. There is No Idea of Submission, here in any Bodies head. Thank my dear Nabby for her Letter-tell her it has given me great Spirits. Kiss all my sweet ones for me. "
"Phyladelphia  Septr. 18, 1774
","My Dear In your last you inquire tenderly after my Health, and how we found the People upon our journey, and how We were treated. I have enjoyed as good Health as usual, and much more than I know how to account for, when I consider the  Heat of the Weather, and the incessant Feasting I have endured ever since I left Boston. The People, in Connecticutt, New York, the Jerseys and Pensylvania, we have found  well principled, and very well inclined, altho some Persons in N. York and Phyladelphia, wanted a little Animation. Their Zeal however has increased wonderfully since we began our journey. When the horrid News was brought here of the Bombardment of Boston, which made us  miserable for two days, We saw Proofs both of the Sympathy and the Resolution, of the Continent. WAR! WAR! WAR! was the Cry, and it was pronounced in a Tone, which would have done  to the Oratory of a Briton or a Roman. If it had proved true, you would have heard the Thunder of an American Congress. I have not Time nor Language to express the Hospitality and Civility, the studied and expensive Respect with which we have been treated, in every Stage of our Progress. If Cambden, Chatham, Richmond and St. Asaph had travelled  the Country, they could not have been entertained with greater Demonstrations of Respect, than Cushing, Paine and the Brace of Adams's have been. The Particulars will amuse you, when We return. I confess the Kindness, the Affection, the Applause, which has been given to me and especially, to our Province, have many a Time filled my Bosom, and streamed from my Eyes. My best Respects to  Warren and his Lady when you write to them. I wish to write them. "
"Philadelphia  Septr. 20, 1774
","My Dear I am very well yet:-write to me as often as you can, and send your Letters to the Office in Boston or to Mr. Cranches, whence they will be sent by the first Conveyance. I am anxious to know how you can live without Government. But the Experiment must be . The Evils will not be found so dreadfull as you  [apprehend] them.  Frugality, my Dear, Frugality, , Parcimony must be our Refuge. I hope the Ladies are every day diminishing their ornaments, and the Gentlemen too. Let us Eat Potatoes and drink Water. Let us wear Canvass, and undressed Sheepskins, rather than submit to the unrighteous, and ignominious Domination that is prepared for Us.-Tel Brackett, I shall make him leave off drinking Rum. We cant let him fight yet.-My Love to my dear ones. "
"Phyladelphia  Septr. 25, 1774
","My Dear I would not loose the Opportunity of writing to you-tho I must be short. Tedious, indeed is our Business.-Slow, as Snails. I have not been used to such Ways. We sit only before Dinner. We dine at four O Clock. We are crowded with a Levee in the Evening. Fifty Gentlemen meeting together, all Strangers, are not acquainted with Each others Language, Ideas, Views, Designs. They are therefore jealous, of each other-fearfull, timid, skittish,- "
"Phyladelphia  Septr. 29, 1774
","My Dear Sitting down to write to you, is a Scene almost too tender for my State of Nerves. It calls up to my View the anxious,  State you must be in, amidst the Confusions and Dangers, which surround you. I long to return, and administer all the Consolation in my Power, but when I shall have accomplished all the Business I have to do here, I know not, and if it should be necessary to stay here till Christmas, or longer, in order to effect our Purposes, I am determined patiently to wait. Patience, Forbearance, Long Suffering, are the Lessons taught here for our Province, and at the same Time absolute and open Resistance to the new Government. I wish I could convince Gentlemen, of the Danger, or Impracticability of this as fully as I believe it myself. The Art and Address, of Ambassadors from a dozen  Powers of Europe, nay of a Conclave of Cardinals at the Election of a Pope, or of the Princes in  Germany at the Choice of an Emperor, would not exceed the Specimens We have seen.-- Yet the Congress all profess the same political Principles. They all profess to consider our Province as suffering in the common Cause, and indeed they seem to feel for Us, as if for themselves. We have had as great Questions to discuss as ever engaged the Attention of Men, and an infinite Multitude of them. I received a very kind Letter from , acquainting me with Mr. Cranch's designs of removing to  Braintree, which I approve very much -- and wish I had an House for every Family in  Boston, and Abilities to provide for them, in the Country. I submit it to you, my Dear, whether it would not be best to remove all the Books and Papers and Furniture in the Office at  Boston up to  Braintree. There will be no Business there nor , I suppose, and my young Friends can study there better than in  Boston at present. I shall be  with Kindness, in this Place. We go to congress at Nine, and there We stay, most earnestly engaged in Debates upon the most abstruse Misteries of State untill three in the Afternoon, then We adjourn, and go to  [Dinner] with some of the Nobles of  Pensylvania, at four  [O Clock] and feast upon ten thousand Delicacies, and sitt drinking Madeira, Claret and Burgundy till six or seven, and then go home, fatigued to death with Business, Company, and Care.-- Yet I hold it out, surprizingly. I drink no Cyder, but feast upon  Phyladelphia Beer, and Porter. A Gentleman, one Mr. Hare, has lately set up in this City a Manufactory of Porter, as good as any that comes from  London. I pray We may introduce it into the  Massachusetts. It agrees with me, infinitely better than Punch, Wine, or Cyder, or any other Spirituous Liquor.-- My Love to my dear Children one by one. My Compliments to Mr. Thaxter, and Rice and every Body else.  Yours most affectionately, "
